"to_station_id","to_station_name","no_of_trips"
1,"Special Events",1
2,"Buckingham Fountain",9283
3,"Shedd Aquarium",22184
4,"Burnham Harbor",11042
5,"State St & Harrison St",7615
6,"Dusable Harbor",14296
7,"Field Blvd & South Water St",10122
9,"Leavitt St & Archer Ave",592
11,"Jeffery Blvd & 71st St",234
12,"South Shore Dr & 71st St",853
13,"Wilton Ave & Diversey Pkwy",15986
14,"Morgan St & 18th St",4331
15,"Racine Ave & 18th St",4966
16,"Paulina Ave & North Ave",6774
17,"Honore St & Division St",8093
18,"Wacker Dr & Washington St",14840
19,"Loomis St & Taylor St (*)",2023
19,"Throop (Loomis) St & Taylor St",3426
20,"Sheffield Ave & Kingsbury St",12411
21,"Aberdeen St & Jackson Blvd",12305
22,"May St & Taylor St",7638
23,"Orleans St & Elm St",4462
24,"Fairbanks Ct & Grand Ave",21022
25,"Michigan Ave & Pearson St",10784
26,"McClurg Ct & Illinois St",19855
27,"Larrabee St & North Ave",3982
28,"Larrabee St & Menomonee St",4927
29,"Noble St & Milwaukee Ave",6290
30,"Ashland Ave & Augusta Blvd",5004
31,"Franklin St & Chicago Ave",13270
32,"Racine Ave & Congress Pkwy",6133
33,"State St & Van Buren St",10079
34,"Cannon Dr & Fullerton Ave",6859
35,"Streeter Dr & Grand Ave",81723
36,"Franklin St & Jackson Blvd",18313
37,"Dearborn St & Adams St",11446
38,"Clark St & Lake St",15409
39,"Wabash Ave & Adams St",11219
40,"LaSalle St & Adams St",6490
41,"Federal St & Polk St",12102
42,"Wabash Ave & Cermak Rd",3277
43,"Michigan Ave & Washington St",40331
44,"State St & Randolph St",19574
45,"Michigan Ave & Ida B Wells Dr",7917
46,"Wells St & Walton St",5892
47,"State St & Kinzie St",19663
48,"Larrabee St & Kingsbury St",23295
49,"Dearborn St & Monroe St",19257
50,"Clark St & Ida B Wells Dr",11699
51,"Clark St & Randolph St",15433
52,"Michigan Ave & Lake St",22689
53,"Wells St & Huron St",21965
54,"Ogden Ave & Chicago Ave",9907
55,"Halsted St & Roosevelt Rd",6650
56,"Desplaines St & Kinzie St",18656
57,"Clinton St & Roosevelt Rd",6300
58,"Marshfield Ave & Cortland St",13909
59,"Wabash Ave & Roosevelt Rd",21657
60,"Dayton St & North Ave",9894
61,"Wood St & Milwaukee Ave",11045
62,"McCormick Place",5380
66,"Clinton St & Lake St",23328
67,"Sheffield Ave & Fullerton Ave",17400
68,"Clinton St & Tilden St",6746
69,"Damen Ave & Pierce Ave",21147
71,"Morgan St & Lake St",19618
72,"Wabash Ave & 16th St",10172
73,"Jefferson St & Monroe St",8569
74,"Kingsbury St & Erie St",17057
75,"Canal St & Jackson Blvd",10165
76,"Lake Shore Dr & Monroe St",40633
77,"Clinton St & Madison St",47311
80,"Aberdeen St & Monroe St",9569
81,"Daley Center Plaza",33134
84,"Milwaukee Ave & Grand Ave",14337
85,"Michigan Ave & Oak St",37849
86,"Eckhart Park",6619
87,"Racine Ave & Fullerton Ave",9426
88,"Racine Ave & Randolph St",5980
89,"Financial Pl & Ida B Wells Dr",7566
90,"Millennium Park",37424
91,"Clinton St & Washington Blvd",50686
92,"Carpenter St & Huron St",6898
93,"Sheffield Ave & Willow St",9420
94,"Clark St & Armitage Ave",22498
95,"Stony Island Ave & 64th St",229
96,"Desplaines St & Randolph St",10806
97,"Field Museum",7623
98,"LaSalle St & Washington St",10802
99,"Lake Shore Dr & Ohio St",14416
100,"Orleans St & Merchandise Mart Plaza",20315
101,"63rd St Beach",1164
102,"Stony Island Ave & 67th St",202
103,"Clinton St & Polk St",1229
103,"Clinton St & Polk St (*)",1150
106,"State St & Pearson St",10343
107,"Desplaines St & Jackson Blvd",13476
108,"Halsted St & Polk St",7746
109,"900 W Harrison St",6272
110,"Dearborn St & Erie St",24577
111,"Sedgwick St & Huron St",13430
112,"Green St & Randolph St",15368
113,"Bissell St & Armitage Ave",15913
114,"Sheffield Ave & Waveland Ave",15135
115,"Sheffield Ave & Wellington Ave",13275
116,"Western Ave & Winnebago Ave",8575
117,"Wilton Ave & Belmont Ave",18706
118,"Sedgwick St & North Ave",13316
119,"Ashland Ave & Lake St",3098
119,"Ashland Ave & Lake St (Temp)",1974
120,"Wentworth Ave & Cermak Rd (Temp)",4781
121,"Blackstone Ave & Hyde Park Blvd",3347
122,"Ogden Ave & Congress Pkwy",1301
123,"California Ave & Milwaukee Ave",8916
124,"Damen Ave & Cullerton St",1914
125,"Rush St & Hubbard St",12901
126,"Clark St & North Ave",9718
127,"Lincoln Ave & Fullerton Ave",13979
128,"Damen Ave & Chicago Ave",9904
129,"Blue Island Ave & 18th St",6691
130,"Damen Ave & Division St",7885
131,"Lincoln Ave & Belmont Ave",6819
132,"Wentworth Ave & 24th St",655
132,"Wentworth Ave & 24th St (Temp)",1120
133,"Kingsbury St & Kinzie St",32502
134,"Peoria St & Jackson Blvd",12796
135,"Halsted St & 21st St",1481
136,"Racine Ave & 13th St",1026
137,"Morgan Ave & 14th Pl",4531
138,"Clybourn Ave & Division St",6135
140,"Dearborn Pkwy & Delaware Pl",17855
141,"Clark St & Lincoln Ave",19862
142,"McClurg Ct & Erie St",15171
143,"Sedgwick St & Webster Ave",11984
144,"Larrabee St & Webster Ave",12699
145,"Mies van der Rohe Way & Chestnut St",13440
146,"Loomis St & Jackson Blvd",4133
147,"Indiana Ave & 26th St",2191
148,"State St & 33rd St",6751
149,"Calumet Ave & 33rd St",2986
150,"Fort Dearborn Dr & 31st St",7664
152,"Lincoln Ave & Diversey Pkwy",7719
153,"Southport Ave & Wellington Ave",9635
154,"Southport Ave & Belmont Ave",5750
156,"Clark St & Wellington Ave",11499
157,"Lake Shore Dr & Wellington Ave",12989
158,"Milwaukee Ave & Wabansia Ave",10266
159,"Claremont Ave & Hirsch St",3158
160,"Campbell Ave & North Ave",4405
161,"Rush St & Superior St",13783
162,"Damen Ave & Wellington Ave",3544
163,"Damen Ave & Clybourn Ave",3742
164,"Franklin St & Lake St",14153
165,"Clark St & Grace St",7281
166,"Ashland Ave & Wrightwood Ave",5261
167,"Damen Ave & Coulter St",282
168,"Michigan Ave & 14th St",9231
169,"Canal St & Harrison St",2969
170,"Clinton St & 18th St",2584
171,"May St & Cullerton St",1924
172,"Rush St & Cedar St",13118
173,"Mies van der Rohe Way & Chicago Ave",12531
174,"Canal St & Madison St",28585
175,"Wells St & Polk St",8020
176,"Clark St & Elm St",27052
177,"Theater on the Lake",35939
178,"State St & 19th St",2847
179,"MLK Jr Dr & Pershing Rd",1023
180,"Ritchie Ct & Banks St",8038
181,"LaSalle St & Illinois St",20310
182,"Wells St & Elm St",15028
183,"Damen Ave & Thomas St (Augusta Blvd)",6075
184,"State St & 35th St",2760
185,"Stave St & Armitage Ave",2554
186,"Ogden Ave & Race Ave",8561
188,"Greenview Ave & Fullerton Ave",7814
190,"Southport Ave & Wrightwood Ave",6710
191,"Canal St & Monroe St",6576
191,"Canal St & Monroe St (*)",4577
192,"Canal St & Adams St",50127
193,"State St & 29th St",660
194,"Wabash Ave & Wacker Pl",12063
195,"Columbus Dr & Randolph St",24069
196,"Cityfront Plaza Dr & Pioneer Ct",12781
197,"Michigan Ave & Madison St",11381
198,"Green St & Madison St",17604
199,"Wabash Ave & Grand Ave",24541
200,"MLK Jr Dr & 47th St",397
201,"Indiana Ave & 40th St",353
202,"Halsted St & 18th St",2400
203,"Western Ave & 21st St",1394
204,"Prairie Ave & Garfield Blvd",1271
205,"Paulina St & 18th St",3750
206,"Halsted St & Archer Ave",1842
207,"Emerald Ave & 28th St",2087
208,"Ashland Ave & 21st St",1526
209,"Normal Ave & Archer Ave",1122
210,"Ashland Ave & Division St",20049
211,"St. Clair St & Erie St",24680
212,"Wells St & Hubbard St",20240
213,"Leavitt St & North Ave",5045
214,"Damen Ave & Grand Ave",4755
215,"Damen Ave & Madison St",2023
216,"California Ave & Division St",2317
217,"Elizabeth (May) St & Fulton St",3331
217,"Racine Ave (May St) & Fulton St",2789
218,"Wells St & 19th St",2214
219,"Damen Ave & Cortland St",9022
220,"Clark St & Drummond Pl",15839
222,"Milwaukee Ave & Rockwell St",3285
223,"Clifton Ave & Armitage Ave",8137
224,"Halsted St & Willow St",7324
225,"Halsted St & Dickens Ave",11235
226,"Racine Ave & Belmont Ave",7701
227,"Southport Ave & Waveland Ave",11457
228,"Damen Ave & Melrose Ave",2625
229,"Southport Ave & Roscoe St",14118
230,"Lincoln Ave & Roscoe St",9487
231,"Sheridan Rd & Montrose Ave",8152
232,"Pine Grove Ave & Waveland Ave",12300
233,"Sangamon St & Washington Blvd",4828
233,"Sangamon St & Washington Blvd (*)",3647
234,"Clark St & Montrose Ave",4292
236,"Sedgwick St & Schiller St",3837
237,"MLK Jr Dr & 29th St",7420
238,"Wolcott (Ravenswood) Ave & Montrose Ave",2510
238,"Wolcott (Ravenswood) Ave & Montrose Ave (*)",1444
239,"Western Ave & Leland Ave",5654
240,"Sheridan Rd & Irving Park Rd",12327
241,"Morgan St & Polk St",13276
242,"Damen Ave & Leland Ave",5176
243,"Lincoln Ave & Sunnyside Ave",4671
244,"Ravenswood Ave & Irving Park Rd",4811
245,"Clarendon Ave & Junior Ter",5651
246,"Ashland Ave & Belle Plaine Ave",2650
