old_name,new_id
Buckingham Fountain,2
Shedd Aquarium,3
Burnham Harbor,4
State St & Harrison St,5
Dusable Harbor,6
Field Blvd & South Water St,7
Leavitt St & Archer Ave,9
Jeffery Blvd & 71st St,11
South Shore Dr & 71st St,12
Wilton Ave & Diversey Pkwy,13
Morgan St & 18th St,14
Racine Ave & 18th St,15
Paulina Ave & North Ave,16
Honore St & Division St,17
Wacker Dr & Washington St,18
Throop St & Taylor St,19
Sheffield Ave & Kingsbury St,20
Aberdeen St & Jackson Blvd,21
May St & Taylor St,22
Orleans St & Elm St,23
Fairbanks Ct & Grand Ave,24
Michigan Ave & Pearson St,25
New St & Illinois St,26
Larrabee St & North Ave,27
Larrabee St & Menomonee St,28
Noble St & Milwaukee Ave,29
Ashland Ave & Augusta Blvd,30
Franklin St & Chicago Ave,31
Racine Ave & Congress Pkwy,32
State St & Van Buren St,33
Cannon Dr & Fullerton Ave,34
Streeter Dr & Grand Ave,35
Franklin St & Jackson Blvd,36
Dearborn St & Adams St,37
Clark St & Lake St,38
Wabash Ave & Adams St,39
LaSalle St & Adams St,40
Federal St & Polk St,41
Wabash Ave & Cermak Rd,42
Michigan Ave & Washington St,43
State St & Randolph St,44
Michigan Ave & Ida B Wells Dr,45
Wells St & Walton St,46
State St & Kinzie St,47
Larrabee St & Kingsbury St,48
Dearborn St & Monroe St,49
Clark St & Ida B Wells Dr,50
Clark St & Randolph St,51
Michigan Ave & Lake St,52
Wells St & Huron St,53
Ogden Ave & Chicago Ave,54
Halsted St & Roosevelt Rd,55
Desplaines St & Kinzie St,56
Clinton St & Roosevelt Rd,57
NULL,57
Elston Ave & Cortland St,58
Marshfield Ave & Cortland St,58
Wabash Ave & Roosevelt Rd,59
Dayton St & North Ave,60
NULL,61
Wood St & Milwaukee Ave,61
McCormick Place,62
Clinton St & Lake St,66
Sheffield Ave & Fullerton Ave,67
Clinton St & Tilden St,68
Damen Ave & Pierce Ave,69
Morgan St & Lake St,71
Wabash Ave & 16th St,72
Jefferson St & Monroe St,73
Kingsbury St & Erie St,74
Canal St & Jackson Blvd,75
DuSable Lake Shore Dr & Monroe St,76
Clinton St & Madison St,77
Aberdeen St & Monroe St,80
Daley Center Plaza,81
Milwaukee Ave & Grand Ave,84
Michigan Ave & Oak St,85
Eckhart Park,86
Racine Ave & Fullerton Ave,87
Racine Ave & Randolph St,88
Financial Pl & Ida B Wells Dr,89
Millennium Park,90
Clinton St & Washington Blvd,91
Carpenter St & Huron St,92
Sheffield Ave & Willow St,93
Clark St & Armitage Ave,94
Stony Island Ave & 64th St,95
Desplaines St & Randolph St,96
Field Museum,97
LaSalle St & Washington St,98
DuSable Lake Shore Dr & Ohio St,99
Lake Shore Dr & Ohio St,99
McClurg Ct & Ohio St,99
Orleans St & Merchandise Mart Plaza,100
63rd St Beach,101
Stony Island Ave & 67th St,102
Clinton St & Polk St,103
State St & Pearson St,106
Desplaines St & Jackson Blvd,107
Halsted St & Polk St,108
900 W Harrison St,109
