old_name,new_name
Base - 2132 W Hubbard Warehouse,HUBBARD ST BIKE CHECKING (LBS-WH-TEST)
Broadway & Wilson - Truman College Vaccination Site,Broadway & Wilson Ave
Chicago Ave & Dempster St,Dodge Ave & Main St
DuSable Lake Shore Dr & Ohio St,McClurg Ct & Ohio St
Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave
Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy
Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave
Lake Shore Dr & Ohio St,McClurg Ct & Ohio St
Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St
Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd
Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave
Marshfield Ave & Cortland St,Elston Ave & Cortland St
N Clark St & W Elm St,Clark St & Elm St
Halsted St & 18th St (Temp),Halsted St & 18th St
hubbard_test_lws,HUBBARD ST BIKE CHECKING (LBS-WH-TEST)
Halsted & 63rd - Kennedy-King Vaccination Site,Halsted St & 63rd St
Western & 28th - Velasquez Institute Vaccination Site,Western Ave & 28th St
