old_name,new_name
351,Cottage Grove Ave & 51st St
Broadway & Wilson Ave,Broadway & Wilson - Truman College Vaccination Site
Burling St (Halsted) & Diversey Pkwy (Temp),Burling St & Diversey Pkwy
Damen Ave & Walnut (Lake) St (*),Damen Ave & Walnut (Lake) St
Drake Ave & Fullerton Ave,St. Louis Ave & Fullerton Ave
DuSable Lake Shore Dr & Ohio St,McClurg Ct & Ohio St
Eggleston Ave & 69th St (*),Eggleston Ave & 69th St
Halsted St & 18th St (Temp),Halsted St & 18th St
Halsted St & 63rd St,Halsted & 63rd - Kennedy-King Vaccination Site
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),Base - 2132 W Hubbard Warehouse
Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave
Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy
Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St
Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd
Lake Shore Dr & Ohio St,McClurg Ct & Ohio St
Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave
Leavitt St & Belmont Ave (*),Leavitt St & Belmont Ave
Leavitt St & Division St (*),Leavitt St & Division St
Malcolm X College,Malcolm X College Vaccination Site
Marshfield Ave & Cortland St,Elston Ave & Cortland St
McClurg Ct & Illinois St,New St & Illinois St
N Clark St & W Elm St,Clark St & Elm St
N Damen Ave & W Chicago Ave,Damen Ave & Chicago Ave
N Sheffield Ave & W Wellington Ave,Sheffield Ave & Wellington Ave
N Shore Channel Trail & Argyle Ave,N Shore Channel Trail & Argyle St
Racine Ave & Washington Blvd (*),Racine Ave & Washington Blvd
Smith Park (*),Smith Park
Stewart Ave & 63rd St (*),Stewart Ave & 63rd St
Throop (Loomis) St & Taylor St,Throop St & Taylor St
Wentworth Ave & Cermak Rd (Temp),Wentworth Ave & Cermak Rd
Western Ave & 28th St,Western & 28th - Velasquez Institute Vaccination Site
Western Ave & Fillmore St (*),Western Ave & Fillmore St
Whipple St & Irving Park Rd,Whipple/Irving Park
Wood St & Chicago Ave (*),Wood St & Chicago Ave
Wood St & Taylor St,Wood St & Taylor St (Temp)
