"id","name"
"KA1504000155","2112 W Peterson Ave"
"15491","63rd St Beach"
"13028","900 W Harrison St"
"13157","Aberdeen St & Jackson Blvd"
"13156","Aberdeen St & Monroe St"
"18062","Aberdeen St & Randolph St"
"20129","Ada St & 113th St"
"13353","Ada St & Washington Blvd"
"13431","Adler Planetarium"
"15691","Albany Ave & 26th St"
"15655","Albany Ave & Bloomingdale Ave"
"15621","Albany Ave & Montrose Ave"
"20212","Altgeld Gardens"
"18022","Archer (Damen) Ave & 37th St"
"15664","Artesian Ave & Hubbard St"
"13354","Ashland Ave & 13th St"
"16940","Ashland Ave & 50th St"
"16948","Ashland Ave & 63rd St"
"16950","Ashland Ave & 66th St"
"20245","Ashland Ave & 74th St"
"20234","Ashland Ave & 78th St"
"15442","Ashland Ave & Archer Ave"
"13248","Ashland Ave & Augusta Blvd"
"13249","Ashland Ave & Belle Plaine Ave"
"13224","Ashland Ave & Blackhawk St"
"13247","Ashland Ave & Chicago Ave"
"13061","Ashland Ave & Division St"
"16943","Ashland Ave & Garfield Blvd"
"13319","Ashland Ave & Grace St"
"13434","Ashland Ave & Grand Ave"
"13073","Ashland Ave & Lake St"
"16937","Ashland Ave & McDowell Ave"
"16932","Ashland Ave & Pershing Rd"
"13269","Ashland Ave & Wellington Ave"
"13296","Ashland Ave & Wrightwood Ave"
"16921","Austin Blvd & Chicago Ave"
"16906","Austin Blvd & Lake St"
"16918","Austin Blvd & Madison St"
"20220","Avenue L & 114th St"
"20218","Avenue O & 118th St"
"20214","Avenue O & 134th St"
"15640","Avers Ave & Belmont Ave"
"15624","Avondale Ave & Irving Park Rd"
"20229","Baltimore Ave & 87th St"
"Hubbard Bike-checking (LBS-WH-TEST)","Base - 2132 W Hubbard Warehouse"
"16970","Bennett Ave & 79th St"
"18016","Bernard St & Elston Ave"
"20232","Big Marsh Park"
"13059","Bissell St & Armitage Ave"
"Bissell St & Armitage Ave - Charging","Bissell St & Armitage Ave - Charging"
"chargingstx1","Bissell St & Armitage Ave - Charging"
"chargingstx1","Bissell St & Armitage Ave*"
"13398","Blackstone Ave & Hyde Park Blvd"
"13135","Blue Island Ave & 18th St"
"16806","Bosworth Ave & Howard St"
"20227","Bradley Park"
"13108","Broadway & Argyle St"
"13137","Broadway & Barry Ave"
"13277","Broadway & Belmont Ave"
"13109","Broadway & Berwyn Ave"
"13278","Broadway & Cornelia Ave"
"15571","Broadway & Granville Ave"
"15578","Broadway & Ridge Ave"
"13323","Broadway & Sheridan Rd"
"15575","Broadway & Thorndale Ave"
"13325","Broadway & Waveland Ave"
"13074","Broadway & Wilson - Truman College Vaccination Site"
"15541","Buckingham Fountain"
"15585","Budlong Woods Library"
"TA1309000036","Burling St & Diversey Pkwy"
"20222","Burnham Greenway & 105th St"
"20219","Burnham Greenway & 112th St"
"15545","Burnham Harbor"
"13096","California Ave & 21st St"
"15689","California Ave & 23rd Pl"
"15692","California Ave & 26th St"
"15646","California Ave & Altgeld St"
"15628","California Ave & Byron St"
"17660","California Ave & Cortez St"
"13256","California Ave & Division St"
"15642","California Ave & Fletcher St"
"13259","California Ave & Francis Pl (Temp)"
"15666","California Ave & Lake St"
"13084","California Ave & Milwaukee Ave"
"15622","California Ave & Montrose Ave"
"13258","California Ave & North Ave"
"13102","Calumet Ave & 18th St"
"15546","Calumet Ave & 21st St"
"13217","Calumet Ave & 33rd St"
"13345","Calumet Ave & 35th St"
"15470","Calumet Ave & 51st St"
"15599","Calumet Ave & 71st St"
"20224","Calumet Park"
"15648","Campbell Ave & Fullerton Ave"
"15623","Campbell Ave & Montrose Ave"
"13257","Campbell Ave & North Ave"
"13011","Canal St & Adams St"
"13326","Canal St & Harrison St"
"13138","Canal St & Jackson Blvd"
"13341","Canal St & Madison St"
"13056","Canal St & Monroe St"
"15550","Canal St & Taylor St"
"13124","Cannon Dr & Fullerton Ave"
"18025","Carpenter St & 63rd St"
"13196","Carpenter St & Huron St"
"16920","Central Ave & Chicago Ave"
"16915","Central Ave & Harrison St"
"16905","Central Ave & Lake St"
"16916","Central Ave & Madison St"
"15687","Central Park Ave & 24th St"
"18017","Central Park Ave & Bloomingdale Ave"
"329.0","Central Park Ave & Douglas Blvd"
"15644","Central Park Ave & Elbridge Ave"
"15652","Central Park Ave & North Ave"
"15685","Central Park Ave & Ogden Ave"
"16907","Central Park Blvd & 5th Ave"
"E007","Central St & Girard Ave"
"E006","Central St Metra"
"18069","Cherry Ave & Blackhawk St"
"E008","Chicago Ave & Sheridan Rd"
"E002","Chicago Ave & Washington St"
"20106","Chicago State University"
"15615","Christiana Ave & Lawrence Ave"
"16912","Cicero Ave & Flournoy St"
"16903","Cicero Ave & Lake St"
"16913","Cicero Ave & Quincy St"
"13427","Cityfront Plaza Dr & Pioneer Ct"
"13245","Claremont Ave & Hirsch St"
"13379","Clarendon Ave & Gordon Ter"
"13389","Clarendon Ave & Junior Ter"
"TA1307000119","Clarendon Ave & Leland Ave"
"SL-009","Clark St & 9th St (AMLI)"
"13146","Clark St & Armitage Ave"
"KA1504000146","Clark St & Berwyn Ave"
"KA1504000151","Clark St & Bryn Mawr Ave"
"13303","Clark St & Chicago Ave"
"RP-008","Clark St & Columbia Ave"
"TA1307000142","Clark St & Drummond Pl"
"TA1307000039","Clark St & Elm St"
"KA1504000148","Clark St & Elmdale Ave"
"TA1307000127","Clark St & Grace St"
"TA1305000009","Clark St & Ida B Wells Dr"
"KA1503000012","Clark St & Lake St"
"TA1309000014","Clark St & Leland Ave"
"13179","Clark St & Lincoln Ave"
"KA1504000162","Clark St & Lunt Ave"
"KA1503000022","Clark St & Montrose Ave"
"13128","Clark St & North Ave"
"TA1305000030","Clark St & Randolph St"
"TA1309000024","Clark St & Schiller St"
"KA1504000156","Clark St & Schreiber Ave"
"RP-007","Clark St & Touhy Ave"
"TA1307000136","Clark St & Wellington Ave"
"TA1309000035","Clark St & Winnemac Ave"
"TA1305000014","Clark St & Wrightwood Ave"
"TA1307000163","Clifton Ave & Armitage Ave"
