id,name,correct_id
KA1504000155,2112 W Peterson Ave,456
15491,63rd St Beach,101
13028,900 W Harrison St,109
13157,Aberdeen St & Jackson Blvd,21
13156,Aberdeen St & Monroe St,80
18062,Aberdeen St & Randolph St,621
20129,Ada St & 113th St,727
13353,Ada St & Washington Blvd,346
13431,Adler Planetarium,341
15691,Albany Ave & 26th St,444
15655,Albany Ave & Bloomingdale Ave,511
15621,Albany Ave & Montrose Ave,480
20212,Altgeld Gardens,739
18022,Archer (Damen) Ave & 37th St,645
15664,Artesian Ave & Hubbard St,376
13354,Ashland Ave & 13th St,275
16940,Ashland Ave & 50th St,555
16948,Ashland Ave & 63rd St,563
16950,Ashland Ave & 66th St,565
20245,Ashland Ave & 74th St,679
20234,Ashland Ave & 78th St,683
15442,Ashland Ave & Archer Ave,368
13248,Ashland Ave & Augusta Blvd,30
13249,Ashland Ave & Belle Plaine Ave,246
13224,Ashland Ave & Blackhawk St,333
13247,Ashland Ave & Chicago Ave,350
13061,Ashland Ave & Division St,210
16943,Ashland Ave & Garfield Blvd,558
13319,Ashland Ave & Grace St,347
13434,Ashland Ave & Grand Ave,277
13073,Ashland Ave & Lake St,119
16937,Ashland Ave & McDowell Ave,552
16932,Ashland Ave & Pershing Rd,547
13269,Ashland Ave & Wellington Ave,250
13296,Ashland Ave & Wrightwood Ave,166
16921,Austin Blvd & Chicago Ave,524
16906,Austin Blvd & Lake St,532
16918,Austin Blvd & Madison St,544
20220,Avenue L & 114th St,
20218,Avenue O & 118th St,719
20214,Avenue O & 134th St,704
15640,Avers Ave & Belmont Ave,496
15624,Avondale Ave & Irving Park Rd,483
20229,Baltimore Ave & 87th St,693
Hubbard Bike-checking (LBS-WH-TEST),Base - 2132 W Hubbard Warehouse,
16970,Bennett Ave & 79th St,578
18016,Bernard St & Elston Ave,640
20232,Big Marsh Park,717
13059,Bissell St & Armitage Ave,113
13398,Blackstone Ave & Hyde Park Blvd,19
13135,Blue Island Ave & 18th St,129
16806,Bosworth Ave & Howard St,522
20227,Bradley Park,731
13108,Broadway & Argyle St,295
13137,Broadway & Barry Ave,300
13277,Broadway & Belmont Ave,296
13109,Broadway & Berwyn Ave,294
13278,Broadway & Cornelia Ave,303
15571,Broadway & Granville Ave,454
15578,Broadway & Ridge Ave,461
13323,Broadway & Sheridan Rd,256
15575,Broadway & Thorndale Ave,458
13325,Broadway & Waveland Ave,304
13074,Broadway & Wilson - Truman College Vaccination Site,293
13074,Broadway & Wilson Ave,293
15541,Buckingham Fountain,2
15585,Budlong Woods Library,468
TA1309000036,Burling St & Diversey Pkwy,332
20222,Burnham Greenway & 105th St,710
15545,Burnham Harbor,4
13096,California Ave & 21st St,348
15689,California Ave & 23rd Pl,442
15692,California Ave & 26th St,445
15646,California Ave & Altgeld St,502
15628,California Ave & Byron St,487
17660,California Ave & Cortez St,622
13256,California Ave & Division St,216
15642,California Ave & Fletcher St,498
13259,California Ave & Francis Pl (Temp),259
15666,California Ave & Lake St,378
13084,California Ave & Milwaukee Ave,123
15622,California Ave & Montrose Ave,481
13258,California Ave & North Ave,276
13102,Calumet Ave & 18th St,338
15546,Calumet Ave & 21st St,370
13217,Calumet Ave & 33rd St,149
13345,Calumet Ave & 35th St,335
15470,Calumet Ave & 51st St,415
15599,Calumet Ave & 71st St,393
20224,Calumet Park,738
15648,Campbell Ave & Fullerton Ave,504
15623,Campbell Ave & Montrose Ave,482
13257,Campbell Ave & North Ave,160
13011,Canal St & Adams St,192
13326,Canal St & Harrison St,169
13138,Canal St & Jackson Blvd,75
13341,Canal St & Madison St,174
13056,Canal St & Monroe St,191
15550,Canal St & Taylor St,414
13124,Cannon Dr & Fullerton Ave,34
18025,Carpenter St & 63rd St,648
13196,Carpenter St & Huron St,992
16920,Central Ave & Chicago Ave,550
16915,Central Ave & Harrison St,541
16905,Central Ave & Lake St,531
16916,Central Ave & Madison St,542
15687,Central Park Ave & 24th St,440
18017,Central Park Ave & Bloomingdale Ave,641
329,Central Park Ave & Douglas Blvd,
15644,Central Park Ave & Elbridge Ave,500
15652,Central Park Ave & North Ave,508
15685,Central Park Ave & Ogden Ave,438
16907,Central Park Blvd & 5th Ave,533
E007,Central St & Girard Ave,602
E006,Central St Metra,601
18069,Cherry Ave & Blackhawk St,666
E011,Chicago Ave & Dempster St,
E008,Chicago Ave & Sheridan Rd,603
E002,Chicago Ave & Washington St,597
20106,Chicago State University,737
15615,Christiana Ave & Lawrence Ave,474
16912,Cicero Ave & Flournoy St,538
16903,Cicero Ave & Lake St,529
16913,Cicero Ave & Quincy St,539
13427,Cityfront Plaza Dr & Pioneer Ct,196
13245,Claremont Ave & Hirsch St,159
13379,Clarendon Ave & Gordon Ter,312
13389,Clarendon Ave & Junior Ter,245
TA1307000119,Clarendon Ave & Leland Ave,251
SL-009,Clark St & 9th St (AMLI),394
13146,Clark St & Armitage Ave,94
KA1504000146,Clark St & Berwyn Ave,463
KA1504000151,Clark St & Bryn Mawr Ave,460
13303,Clark St & Chicago Ave,337
RP-008,Clark St & Columbia Ave,449
TA1307000142,Clark St & Drummond Pl,220
TA1307000039,Clark St & Elm St,176
KA1504000148,Clark St & Elmdale Ave,457
TA1307000127,Clark St & Grace St,165
TA1305000009,Clark St & Ida B Wells Dr,50
KA1503000012,Clark St & Lake St,38
TA1309000014,Clark St & Leland Ave,326
13179,Clark St & Lincoln Ave,141
KA1504000162,Clark St & Lunt Ave,432
KA1503000022,Clark St & Montrose Ave,234
13128,Clark St & North Ave,126
TA1305000030,Clark St & Randolph St,51
TA1309000024,Clark St & Schiller St,301
KA1504000156,Clark St & Schreiber Ave,453
RP-007,Clark St & Touhy Ave,353
