"count","name","year"
3116,"900 W Harrison St",2013
5348,"Aberdeen St & Jackson Blvd",2013
8697,"Aberdeen St & Monroe St",2013
1098,"Ada St & Washington Blvd",2013
2314,"Adler Planetarium",2013
357,"Ashland Ave & 13th St",2013
4122,"Ashland Ave & Augusta Blvd",2013
1025,"Ashland Ave & Belle Plaine Ave",2013
1055,"Ashland Ave & Blackhawk St",2013
2122,"Ashland Ave & Chicago Ave",2013
5582,"Ashland Ave & Division St",2013
470,"Ashland Ave & Grace St",2013
876,"Ashland Ave & Grand Ave",2013
1790,"Ashland Ave & Lake St",2013
2693,"Ashland Ave & Wellington Ave",2013
2222,"Ashland Ave & Wrightwood Ave",2013
3268,"Bissell St & Armitage Ave",2013
1655,"Blackstone Ave & Hyde Park Blvd",2013
2235,"Blue Island Ave & 18th St",2013
981,"Broadway & Argyle St",2013
3228,"Broadway & Barry Ave",2013
1911,"Broadway & Belmont Ave",2013
1471,"Broadway & Berwyn Ave",2013
2310,"Broadway & Cornelia Ave",2013
1558,"Broadway & Sheridan Rd",2013
2711,"Broadway & Waveland Ave",2013
973,"Broadway & Wilson - Truman College Vaccination Site",2013
2010,"Burling St & Diversey Pkwy",2013
586,"California Ave & 21st St",2013
2155,"California Ave & Division St",2013
1097,"California Ave & Francis Pl Temp",2013
5709,"California Ave & Milwaukee Ave",2013
1094,"California Ave & North Ave",2013
2647,"Calumet Ave & 18th St",2013
1415,"Calumet Ave & 33rd St",2013
66,"Calumet Ave & 35th St",2013
1435,"Campbell Ave & North Ave",2013
12444,"Canal St & Adams St",2013
2632,"Canal St & Harrison St",2013
20253,"Canal St & Jackson Blvd",2013
17034,"Canal St & Madison St",2013
7034,"Canal St & Monroe St",2013
12773,"Cannon Dr & Fullerton Ave",2013
3078,"Carpenter St & Huron St",2013
6383,"Cityfront Plaza Dr & Pioneer Ct",2013
1094,"Claremont Ave & Hirsch St",2013
449,"Clarendon Ave & Gordon Ter",2013
2218,"Clarendon Ave & Junior Ter",2013
2064,"Clarendon Ave & Leland Ave",2013
12447,"Clark St & Armitage Ave",2013
2041,"Clark St & Chicago Ave",2013
9305,"Clark St & Drummond Pl",2013
11910,"Clark St & Elm St",2013
4995,"Clark St & Grace St",2013
9933,"Clark St & Ida B Wells Dr",2013
961,"Clark St & Leland Ave",2013
9722,"Clark St & Lincoln Ave",2013
1888,"Clark St & Montrose Ave",2013
13813,"Clark St & North Ave",2013
14283,"Clark St & Randolph St",2013
3354,"Clark St & Schiller St",2013
6435,"Clark St & Wellington Ave",2013
1649,"Clark St & Winnemac Ave",2013
1590,"Clark St & Wrightwood Ave",2013
3425,"Clifton Ave & Armitage Ave",2013
1428,"Clinton St & 18th St",2013
12306,"Clinton St & Lake St",2013
16469,"Clinton St & Madison St",2013
5034,"Clinton St & Roosevelt Rd",2013
4312,"Clinton St & Tilden St",2013
28865,"Clinton St & Washington Blvd",2013
2711,"Clybourn Ave & Division St",2013
10923,"Columbus Dr & Randolph St",2013
120,"Cottage Grove Ave & 43rd St",2013
66,"Cottage Grove Ave & 47th St",2013
575,"Cottage Grove Ave & 51st St",2013
451,"Cottage Grove Ave & Oakwood Blvd",2013
16805,"Daley Center Plaza",2013
1267,"Damen Ave & Charleston St",2013
5437,"Damen Ave & Chicago Ave",2013
1546,"Damen Ave & Clybourn Ave",2013
3353,"Damen Ave & Cortland St",2013
228,"Damen Ave & Coulter St",2013
766,"Damen Ave & Cullerton St",2013
6224,"Damen Ave & Division St",2013
2576,"Damen Ave & Grand Ave",2013
2103,"Damen Ave & Leland Ave",2013
1234,"Damen Ave & Madison St",2013
1811,"Damen Ave & Melrose Ave",2013
11562,"Damen Ave & Pierce Ave",2013
567,"Damen Ave & Sunnyside Ave",2013
4052,"Damen Ave & Thomas St Augusta Blvd",2013
2643,"Damen Ave & Wellington Ave",2013
8302,"Dayton St & North Ave",2013
10308,"Dearborn Pkwy & Delaware Pl",2013
15326,"Dearborn St & Adams St",2013
12819,"Dearborn St & Erie St",2013
15217,"Dearborn St & Monroe St",2013
11416,"Desplaines St & Kinzie St",2013
2452,"DuSable Lake Shore Dr & Belmont Ave",2013
1799,"DuSable Lake Shore Dr & Diversey Pkwy",2013
31130,"DuSable Lake Shore Dr & Monroe St",2013
6068,"DuSable Lake Shore Dr & North Blvd",2013
9039,"DuSable Lake Shore Dr & Wellington Ave",2013
3936,"Eckhart Park",2013
2756,"Elizabeth May St & Fulton St",2013
2529,"Ellis Ave & 58th St",2013
7197,"Elston Ave & Cortland St",2013
599,"Elston Ave & Wabansia Ave",2013
857,"Emerald Ave & 28th St",2013
478,"Emerald Ave & 31st St",2013
13855,"Fairbanks Ct & Grand Ave",2013
26257,"Field Museum",2013
6924,"Fort Dearborn Dr & 31st St",2013
3863,"Franklin St & Adams St Temp",2013
10274,"Franklin St & Chicago Ave",2013
18971,"Franklin St & Jackson Blvd",2013
8756,"Franklin St & Lake St",2013
7269,"Franklin St & Monroe St",2013
6058,"Green St & Madison St",2013
5557,"Green St & Randolph St",2013
1124,"Greenview Ave & Diversey Pkwy",2013
2799,"Greenview Ave & Fullerton Ave",2013
1662,"Greenwood Ave & 47th St",2013
1357,"Halsted St & 18th St",2013
1067,"Halsted St & 21st St",2013
2100,"Halsted St & 35th St",2013
194,"Halsted St & 37th St",2013
1450,"Halsted St & Archer Ave",2013
1481,"Halsted St & Clybourn Ave",2013
3277,"Halsted St & Dickens Ave",2013
1265,"Halsted St & Maxwell St",2013
4179,"Halsted St & Polk St",2013
3485,"Halsted St & Roosevelt Rd",2013
1873,"Halsted St & Roscoe St",2013
2598,"Halsted St & Willow St",2013
877,"Halsted St & Wrightwood Ave",2013
2025,"Hermitage Ave & Polk St",2013
5644,"Honore St & Division St",2013
1347,"Indiana Ave & 26th St",2013
482,"Indiana Ave & 31st St",2013
259,"Indiana Ave & 40th St",2013
7773,"Indiana Ave & Roosevelt Rd",2013
8070,"Jefferson St & Monroe St",2013
2053,"Kedzie Ave & Milwaukee Ave",2013
850,"Kedzie Ave & Palmer Ct",2013
1047,"Kimbark Ave & 53rd St",2013
11529,"Kingsbury St & Erie St",2013
308,"Laflin St & Cullerton St",2013
594,"Lake Park Ave & 47th St",2013
540,"Lake Park Ave & 56th St",2013
3956,"Lakeview Ave & Fullerton Pkwy",2013
1527,"Larrabee St & Armitage Ave",2013
12795,"Larrabee St & Kingsbury St",2013
4176,"Larrabee St & Menomonee St",2013
2903,"Larrabee St & North Ave",2013
6451,"Larrabee St & Webster Ave",2013
13143,"LaSalle St & Illinois St",2013
8005,"LaSalle St & Jackson Blvd",2013
9353,"LaSalle St & Washington St",2013
968,"Leavitt St & Armitage Ave",2013
1884,"Leavitt St & Lawrence Ave",2013
1424,"Leavitt St & North Ave",2013
834,"Lincoln Ave & Addison St",2013
884,"Lincoln Ave & Belle Plaine Ave",2013
1252,"Lincoln Ave & Belmont Ave",2013
4187,"Lincoln Ave & Diversey Pkwy",2013
693,"Lincoln Ave & Fullerton Ave",2013
3638,"Lincoln Ave & Roscoe St",2013
2074,"Lincoln Ave & Sunnyside Ave",2013
1532,"Lincoln Ave & Waveland Ave",2013
1319,"Logan Blvd & Elston Ave",2013
2046,"Loomis St & Jackson Blvd",2013
1223,"Loomis St & Lexington St",2013
417,"May St & Cullerton St",2013
4511,"May St & Taylor St",2013
13863,"McClurg Ct & Ohio St",2013
7943,"McCormick Place",2013
5885,"Michigan Ave & 14th St",2013
3093,"Michigan Ave & 18th St",2013
12899,"Michigan Ave & Ida B Wells Dr",2013
5879,"Michigan Ave & Jackson Blvd",2013
21223,"Michigan Ave & Lake St",2013
5524,"Michigan Ave & Madison St",2013
27616,"Michigan Ave & Oak St",2013
17117,"Michigan Ave & Pearson St",2013
16729,"Michigan Ave & Washington St",2013
10784,"Mies van der Rohe Way & Chicago Ave",2013
35665,"Millennium Park",2013
4365,"Milwaukee Ave & Grand Ave",2013
1023,"Milwaukee Ave & Rockwell St",2013
3104,"Milwaukee Ave & Wabansia Ave",2013
1288,"MLK Jr Dr & 29th St",2013
423,"MLK Jr Dr & 47th St",2013
1460,"MLK Jr Dr & Pershing Rd",2013
4944,"Montrose Harbor",2013
2968,"Morgan Ave & 14th Pl",2013
2969,"Morgan St & 18th St",2013
548,"Morgan St & 31st St",2013
5960,"Morgan St & Lake St",2013
3542,"Morgan St & Polk St",2013
22371,"New St & Illinois St",2013
5445,"Noble St & Milwaukee Ave",2013
770,"Normal Ave & Archer Ave",2013
5125,"Ogden Ave & Chicago Ave",2013
1921,"Ogden Ave & Congress Pkwy",2013
3233,"Ogden Ave & Race Ave",2013
4027,"Orleans St & Elm St",2013
12681,"Orleans St & Merchandise Mart Plaza",2013
3364,"Paulina Ave & North Ave",2013
1276,"Paulina St & 18th St",2013
641,"Paulina St & Montrose Ave",2013
7487,"Peoria St & Jackson Blvd",2013
2874,"Pine Grove Ave & Irving Park Rd",2013
5411,"Pine Grove Ave & Waveland Ave",2013
533,"Prairie Ave & Garfield Blvd",2013
575,"Racine Ave & 13th St",2013
774,"Racine Ave & 15th St",2013
3341,"Racine Ave & 18th St",2013
2656,"Racine Ave & Belmont Ave",2013
3459,"Racine Ave & Congress Pkwy",2013
4950,"Racine Ave & Fullerton Ave",2013
5939,"Racine Ave & Randolph St",2013
449,"Racine Ave & Wrightwood Ave",2013
840,"Ravenswood Ave & Berteau Ave",2013
2065,"Ravenswood Ave & Irving Park Rd",2013
1181,"Ravenswood Ave & Lawrence Ave",2013
518,"Rhodes Ave & 32nd St",2013
3448,"Sangamon St & Washington Blvd",2013
4330,"Sedgwick St & Huron St",2013
5905,"Sedgwick St & North Ave",2013
1198,"Sedgwick St & Schiller St",2013
8032,"Sedgwick St & Webster Ave",2013
971,"Seeley Ave & Roscoe St",2013
12038,"Sheffield Ave & Fullerton Ave",2013
5774,"Sheffield Ave & Kingsbury St",2013
6693,"Sheffield Ave & Waveland Ave",2013
2075,"Sheffield Ave & Webster Ave",2013
7104,"Sheffield Ave & Wellington Ave",2013
5343,"Sheffield Ave & Willow St",2013
2056,"Sheffield Ave & Wrightwood Ave",2013
1275,"Sheridan Rd & Buena Ave",2013
4553,"Sheridan Rd & Irving Park Rd",2013
693,"Sheridan Rd & Lawrence Ave",2013
3707,"Sheridan Rd & Montrose Ave",2013
2263,"Shore Dr & 55th St",2013
3746,"Southport Ave & Belmont Ave",2013
734,"Southport Ave & Clark St",2013
1562,"Southport Ave & Clybourn Ave",2013
1428,"Southport Ave & Irving Park Rd",2013
4029,"Southport Ave & Roscoe St",2013
4154,"Southport Ave & Waveland Ave",2013
6422,"Southport Ave & Wellington Ave",2013
3815,"Southport Ave & Wrightwood Ave",2013
9426,"St. Clair St & Erie St",2013
2441,"State St & 19th St",2013
323,"State St & 29th St",2013
1169,"State St & 33rd St",2013
1388,"State St & 35th St",2013
10146,"State St & Harrison St",2013
16501,"State St & Kinzie St",2013
4908,"State St & Pearson St",2013
13175,"State St & Randolph St",2013
11806,"State St & Van Buren St",2013
1511,"Stave St & Armitage Ave",2013
3094,"Stetson Ave & South Water St",2013
1451,"Stockton Dr & Wrightwood Ave",2013
35252,"Streeter Dr & Grand Ave",2013
18653,"Theater on the Lake",2013
3747,"Throop St & Taylor St",2013
6009,"Wabash Ave & 16th St",2013
3805,"Wabash Ave & 9th St",2013
3626,"Wabash Ave & Cermak Rd",2013
11887,"Wabash Ave & Grand Ave",2013
16694,"Wabash Ave & Roosevelt Rd",2013
7262,"Wabash Ave & Wacker Pl",2013
296,"Wallace St & 35th St",2013
669,"Wells St & 19th St",2013
5298,"Wells St & Concord Ln",2013
3298,"Wells St & Evergreen Ave",2013
5377,"Wells St & Hubbard St",2013
11520,"Wells St & Huron St",2013
4695,"Wells St & Polk St",2013
6222,"Wells St & Walton St",2013
335,"Wentworth Ave & 24th St Temp",2013
2759,"Wentworth Ave & Cermak Rd",2013
460,"Western Ave & 21st St",2013
89,"Western Ave & 24th St",2013
1166,"Western Ave & Division St",2013
1992,"Western Ave & Leland Ave",2013
2364,"Western Ave & Winnebago Ave",2013
5181,"Wilton Ave & Belmont Ave",2013
7994,"Wilton Ave & Diversey Pkwy",2013
975,"Winthrop Ave & Lawrence Ave",2013
902,"Wolcott Ave & Polk St",2013
1650,"Wolcott Ravenswood Ave & Montrose Ave",2013
1133,"Wood St & Hubbard St",2013
5473,"Wood St & Milwaukee Ave",2013
1023,"Wood St & Taylor St Temp",2013
1668,"Woodlawn Ave & 55th St",2013
6531,"900 W Harrison St",2014
13599,"Aberdeen St & Jackson Blvd",2014
16593,"Aberdeen St & Monroe St",2014
11693,"Ada St & Washington Blvd",2014
29266,"Adler Planetarium",2014
1873,"Ashland Ave & 13th St",2014
7968,"Ashland Ave & Augusta Blvd",2014
4472,"Ashland Ave & Belle Plaine Ave",2014
10002,"Ashland Ave & Blackhawk St",2014
9059,"Ashland Ave & Chicago Ave",2014
19144,"Ashland Ave & Division St",2014
8456,"Ashland Ave & Grace St",2014
5693,"Ashland Ave & Grand Ave",2014
6189,"Ashland Ave & Lake St",2014
6579,"Ashland Ave & Wellington Ave",2014
